ID,GENDER,AGE,EDUC_LEV,MAR_STATUS,HH_SIZE,RATIO
130378,male,43,college graduate,married or lives with partner,4,5
130379,male,66,college graduate,married or lives with partner,2,5
130380,female,44,HS graduate,married or lives with partner,7,1.41
130384,male,43,9 to 11th grade,never married,2,0.63
130385,female,65,HS graduate,married or lives with partner,2,5
130386,male,34,some college,married or lives with partner,3,1.33
130387,female,68,college graduate,never married,1,1.32
130388,female,27,some college,married or lives with partner,5,0.81
130389,male,59,college graduate,married or lives with partner,2,5
130390,female,31,HS graduate,married or lives with partner,5,2.16
130391,female,33,HS graduate,never married,3,0.93
130392,female,74,college graduate,married or lives with partner,2,3.04
130393,male,39,college graduate,married or lives with partner,3,5
130394,male,51,college graduate,married or lives with partner,4,5
130395,female,33,HS graduate,never married,1,1.1
130396,female,56,some college,married or lives with partner,2,4.82
130397,female,67,HS graduate,married or lives with partner,2,4.48
130398,male,47,HS graduate,married or lives with partner,2,1.67
130399,male,68,college graduate,married or lives with partner,2,5
130400,male,26,HS graduate,never married,3,0.91
130402,female,26,college graduate,never married,2,5
130404,female,73,some college,widow or divorced or separated,1,4.42
130406,female,26,HS graduate,married or lives with partner,3,3.22
130407,female,73,college graduate,widow or divorced or separated,2,4.37
130408,male,80,9 to 11th grade,,5,1.02
130409,male,68,some college,married or lives with partner,2,3.14
130410,female,77,less than 9th grade,widow or divorced or separated,2,3.62
130413,female,67,9 to 11th grade,married or lives with partner,3,0.05
130415,female,61,HS graduate,married or lives with partner,2,0.11
130416,female,59,HS graduate,widow or divorced or separated,2,
130417,female,58,some college,married or lives with partner,2,5
130418,male,53,HS graduate,married or lives with partner,6,0.2
130422,male,66,some college,married or lives with partner,2,3.82
130425,female,68,some college,married or lives with partner,1,1.91
130426,male,67,less than 9th grade,widow or divorced or separated,1,0.88
130427,male,80,college graduate,married or lives with partner,2,2.46
130430,female,27,college graduate,never married,5,3.43
130431,female,80,less than 9th grade,married or lives with partner,7,1.19
130434,male,54,HS graduate,never married,1,0.67
130436,male,50,college graduate,married or lives with partner,2,5
130437,female,43,some college,widow or divorced or separated,3,1.09
130438,male,63,HS graduate,married or lives with partner,2,5
130439,male,42,9 to 11th grade,never married,1,1.03
130441,female,33,college graduate,married or lives with partner,4,5
130442,male,43,college graduate,never married,1,5
130443,male,41,less than 9th grade,married or lives with partner,7,0.65
130444,female,77,HS graduate,widow or divorced or separated,1,4.36
130445,female,38,college graduate,never married,2,5
130446,male,57,some college,never married,1,
130449,female,26,some college,married or lives with partner,3,3.47
130450,male,54,9 to 11th grade,widow or divorced or separated,6,1.65
130452,male,30,HS graduate,never married,1,
130453,male,70,HS graduate,married or lives with partner,2,3.82
130456,female,24,some college,married or lives with partner,2,2.33
130457,female,38,college graduate,never married,1,5
130459,female,41,some college,widow or divorced or separated,1,0.44
130461,female,71,college graduate,widow or divorced or separated,2,5
130462,male,27,HS graduate,widow or divorced or separated,4,1.12
130464,female,72,HS graduate,widow or divorced or separated,7,0.48
130465,male,77,college graduate,never married,1,5
130466,male,69,HS graduate,widow or divorced or separated,7,
130467,male,53,some college,married or lives with partner,6,1.08
130468,female,28,college graduate,married or lives with partner,4,5
130469,female,26,HS graduate,never married,5,1.14
130470,female,64,some college,widow or divorced or separated,5,
130473,female,26,college graduate,married or lives with partner,2,5
130474,female,55,some college,married or lives with partner,3,5
130475,female,55,college graduate,married or lives with partner,2,5
130476,female,30,some college,married or lives with partner,4,2.11
130477,male,50,college graduate,married or lives with partner,5,5
130478,female,69,college graduate,married or lives with partner,2,
130483,male,27,HS graduate,married or lives with partner,3,1.14
130484,female,22,college graduate,never married,1,1.27
130485,male,76,HS graduate,widow or divorced or separated,1,1.29
130486,male,22,some college,never married,4,0.44
130487,female,72,HS graduate,widow or divorced or separated,1,0.12
130489,male,57,9 to 11th grade,married or lives with partner,2,2.73
130491,female,69,some college,married or lives with partner,2,0.79
130493,female,72,college graduate,never married,2,
130494,female,73,some college,married or lives with partner,2,1.52
130495,male,60,HS graduate,never married,1,0.96
130496,male,40,some college,never married,4,5
130497,male,74,HS graduate,widow or divorced or separated,1,2.06
130500,female,60,college graduate,never married,1,3.97
130502,male,71,college graduate,married or lives with partner,2,4.06
130503,male,75,college graduate,married or lives with partner,2,3.44
130504,female,67,college graduate,widow or divorced or separated,1,3.43
