Date,Opponent,At CCSF,Venue,Conference,Playoffs,CCSF 1H,CCSF 2H,CCSF OT,Opp 1H,Opp 2H,Opp OT,fg,fg pct,3pt,3pt pct,ft,ft pct,off reb,def reb,total reb,ast,to,stl,blk,pf,Result
Nov 1,Marin,TRUE,Home,FALSE,FALSE,57,52,0,27,36,0,40-84,47.6,13-31,41.9,18-36,50,17,30,47,23,10,15,6,0,"W, 109-63"
Nov 2,Santa Rosa,TRUE,Home,FALSE,FALSE,56,33,0,21,47,0,33-68,48.5,13-34,38.2,10-17,58.8,10,30,40,17,7,8,2,0,"W, 89-68"
Nov 8,Santa Monica,FALSE,Nuetral,FALSE,FALSE,48,36,0,32,35,0,35-75,46.7,7-28,25,7-14,50,14,31,45,26,8,18,0,23,"W, 84-67"
Nov 9,Saddleback,FALSE,Nuetral,FALSE,FALSE,46,54,0,42,24,0,35-66,53,10-32,31.3,20-29,69,15,26,41,19,14,14,3,22,"W, 100-66"
Nov 10,San Bernardino Valley,FALSE,Away,FALSE,FALSE,33,31,17,34,30,14,28-70,40,5-23,21.7,20-32,62.5,20,32,52,18,13,9,3,26,"W, 81-78"
Nov 16,LA Southwest,FALSE,Nuetral,FALSE,FALSE,59,66,0,42,47,0,46-80,57.5,15-39,38.5,18-23,78.3,9,30,39,36,20,19,5,24,"W, 125-89"
Nov 17,Contra Costa,FALSE,Nuetral,FALSE,FALSE,51,42,0,31,46,0,40-79,50.6,10-23,43.5,3-9,33.3,18,29,47,22,17,12,3,11,"W, 93-77"
Nov 22,West Valley,FALSE,Away,FALSE,FALSE,38,51,0,33,52,0,26-59,44.1,6-23,26.1,31-38,81.6,10,21,31,10,6,11,4,0,"W, 89-85"
Dec 5,Feather River,TRUE,Home,FALSE,FALSE,51,43,0,31,25,0,34-71,47.9,10-31,32.3,16-23,69.6,15,30,45,20,11,14,12,0,"W, 94-56"
Dec 6,Sequoias,TRUE,Home,FALSE,FALSE,38,40,0,17,39,0,26-64,40.6,8-21,38.1,18-28,64.3,13,32,45,18,18,7,4,0,"W, 78-56"
Dec 13,Redwoods,FALSE,Away,FALSE,FALSE,47,52,0,25,46,0,38-77,49.4,10-35,28.6,13-17,76.5,11,34,45,25,9,13,5,0,"W, 99-71"
Dec 19,Merritt,FALSE,Nuetral,FALSE,FALSE,59,60,0,24,27,0,42-79,53.2,23-46,50,12-18,66.7,14,36,50,34,13,20,6,0,"W, 119-51"
Dec 20,San Joaquin Delta,FALSE,Away,FALSE,FALSE,43,56,0,33,35,0,36-76,47.4,10-31,32.3,17-24,70.8,14,25,39,22,9,17,3,0,"W, 99-68"
Dec 21,West Valley,TRUE,Nuetral,FALSE,FALSE,36,44,0,35,41,0,25-51,49,6-16,37.5,24-31,77.4,7,13,20,12,15,10,4,0,"W, 80-76"
Jan 8,Cañada,FALSE,Away,TRUE,FALSE,68,58,0,37,12,0,47-84,56,16-37,43.2,16-21,76.2,16,40,56,37,8,15,6,0,"W, 126-49"
Jan 10,Las Positas,TRUE,Home,TRUE,FALSE,28,41,0,34,47,0,28-69,40.6,4-26,15.4,9-23,39.1,13,22,35,8,13,9,6,0,"L, 81-69"
Jan 15,Skyline,FALSE,Away,TRUE,FALSE,30,43,0,30,26,0,26-58,44.8,8-25,32,13-21,61.9,11,17,28,13,9,14,4,0,"W, 73-56"
Jan 17,Ohlone,TRUE,Home,TRUE,FALSE,44,45,0,27,37,0,34-61,55.7,7-17,41.2,14-22,63.6,9,31,40,23,15,12,1,0,"W, 89-64"
Jan 22,De Anza,FALSE,Away,TRUE,FALSE,44,40,0,31,32,0,32-75,42.7,7-29,24.1,13-22,59.1,17,29,46,18,10,15,3,0,"W, 84-63"
Jan 24,Chabot,TRUE,Home,TRUE,FALSE,56,40,0,32,42,0,36-68,52.9,12-28,42.9,12-19,63.2,8,33,41,15,13,8,2,0,"W, 96-74"
Jan 29,San Mateo,FALSE,Away,TRUE,FALSE,33,65,0,25,34,0,36-70,51.4,8-31,25.8,18-24,75,15,37,52,21,12,9,2,0,"W, 98-59"
Jan 31,Cañada,TRUE,Home,TRUE,FALSE,43,48,0,27,28,0,35-70,50,7-27,25.9,14-18,77.8,15,23,38,17,13,20,6,0,"W, 91-55"
Feb 5,Las Positas,FALSE,Away,TRUE,FALSE,28,52,0,32,29,0,31-61,50.8,11-29,37.9,7-10,70,13,29,42,15,15,3,5,0,"W, 80-61"
Feb 7,Skyline,TRUE,Home,TRUE,FALSE,30,54,0,31,30,0,30-65,46.2,13-31,41.9,11-17,64.7,12,24,36,21,7,13,4,0,"W, 84-61"
Feb 12,Ohlone,FALSE,Away,TRUE,FALSE,53,56,0,29,37,0,37-67,55.2,17-32,53.1,18-25,72,13,30,43,27,11,9,6,0,"W, 109-66"
Feb 14,De Anza,TRUE,Home,TRUE,FALSE,39,43,0,29,42,0,31-68,45.6,10-25,28.6,10-20,50,19,31,50,21,16,9,8,0,"W, 82-71"
Feb 19,Chabot,FALSE,Away,TRUE,FALSE,46,37,0,32,48,0,28-66,42.4,6-22,27.3,21-32,65.6,14,20,34,13,9,12,3,0,"W, 83-80"
Feb 21,San Mateo,TRUE,Home,TRUE,FALSE,56,45,0,30,35,0,35-79,44.3,16-49,32.7,15-23,65.2,13,34,47,22,10,10,8,0,"W, 101-65"
Mar 1,Fresno,TRUE,Home,FALSE,TRUE,37,51,0,24,38,0,30-65,46.2,11-29,37.9,17-23,73.9,17,39,56,18,20,5,5,0,"W, 88-62"
Mar 8,San Jose,TRUE,Home,FALSE,TRUE,40,40,0,31,39,0,30-54,55.6,6-20,30,14-31,45.2,6,31,37,17,18,9,3,0,"W, 80-70"
Mar 13,Cerritos,FALSE,Nuetral,FALSE,TRUE,40,42,0,30,40,0,28-66,42.4,12-32,37.5,14-21,66.7,15,24,39,10,13,12,1,18,"W, 82-70"
Mar 15,Citrus,FALSE,Nuetral,FALSE,TRUE,50,61,0,53,44,0,44-76,57.9,11-27,40.7,12-16,75,15,24,39,19,14,9,3,22,"W, 111-97"
Mar 16,Fullerton,FALSE,Nuetral,FALSE,TRUE,32,43,0,23,35,0,25-61,41,10-28,35.7,15-21,71.4,13,25,38,15,11,7,1,21,"W, 75-58"
