gm,opponent,venue,fg pct,3pt pct,ft pct,off reb,def reb,total reb,ast,to,stl,blk
1,Marin,Home,47.6,41.9,50,17,30,47,23,10,15,6
2,Santa Rosa,Home,48.5,38.2,58.8,10,30,40,17,7,8,2
3,Santa Monica,Neutral,46.7,25,50,14,31,45,26,8,18,0
4,Saddleback,Neutral,53,31.3,69,15,26,41,19,14,14,3
5,San Bernardino Valley,Away,40,21.7,62.5,20,32,52,18,13,9,3
6,LA Southwest,Neutral,57.5,38.5,78.3,9,30,39,36,20,19,5
7,Contra Costa,Neutral,50.6,43.5,33.3,18,29,47,22,17,12,3
8,West Valley,Away,44.1,26.1,81.6,10,21,31,10,6,11,4
9,Feather River,Home,47.9,32.3,69.6,15,30,45,20,11,14,12
10,Sequoias,Home,40.6,38.1,64.3,13,32,45,18,18,7,4
11,Redwoods,Away,49.4,28.6,76.5,11,34,45,25,9,13,5
12,Merritt,Neutral,53.2,50,66.7,14,36,50,34,13,20,6
13,San Joaquin Delta,Away,47.4,32.3,70.8,14,25,39,22,9,17,3
14,West Valley,Neutral,49,37.5,77.4,7,13,20,12,15,10,4
15,Cañada,Away,56,43.2,76.2,16,40,56,37,8,15,6
16,Las Positas,Home,40.6,15.4,39.1,13,22,35,8,13,9,6
17,Skyline,Away,44.8,32,61.9,11,17,28,13,9,14,4
18,Ohlone,Home,55.7,41.2,63.6,9,31,40,23,15,12,1
19,De Anza,Away,42.7,24.1,59.1,17,29,46,18,10,15,3
20,Chabot,Home,52.9,42.9,63.2,8,33,41,15,13,8,2
21,San Mateo,Away,51.4,25.8,75,15,37,52,21,12,9,2
22,Cañada,Home,50,25.9,77.8,15,23,38,17,13,20,6
23,Las Positas,Away,50.8,37.9,70,13,29,42,15,15,3,5
24,Skyline,Home,46.2,41.9,64.7,12,24,36,21,7,13,4
25,Ohlone,Away,55.2,53.1,72,13,30,43,27,11,9,6
26,De Anza,Home,45.6,28.6,50,19,31,50,21,16,9,8
27,Chabot,Away,42.4,27.3,65.6,14,20,34,13,9,12,3
28,San Mateo,Home,44.3,32.7,65.2,13,34,47,22,10,10,8
29,Fresno,Home,46.2,37.9,73.9,17,39,56,18,20,5,5
30,San Jose,Home,55.6,30,45.2,6,31,37,17,18,9,3
31,Cerritos,Neutral,42.4,37.5,66.7,15,24,39,10,13,12,1
32,Citrus,Neutral,57.9,40.7,75,15,24,39,19,14,9,3
33,Fullerton,Neutral,41,35.7,71.4,13,25,38,15,11,7,1
