Game,Opponent,CCSF 1H,CCSF 2H,CCSF OT,Opp 1H,Opp 2H,Opp OT
1,Marin,57,52,0,27,36,0
2,Santa Rosa,56,33,0,21,47,0
3,Santa Monica,48,36,0,32,35,0
4,Saddleback,46,54,0,42,24,0
5,San Bernardino Valley,33,31,17,34,30,14
6,LA Southwest,59,66,0,42,47,0
7,Contra Costa,51,42,0,31,46,0
8,West Valley,38,51,0,33,52,0
9,Feather River,51,43,0,31,25,0
10,Sequoias,38,40,0,17,39,0
11,Redwoods,47,52,0,25,46,0
12,Merritt,59,60,0,24,27,0
13,San Joaquin Delta,43,56,0,33,35,0
14,West Valley,36,44,0,35,41,0
15,Cañada,68,58,0,37,12,0
16,Las Positas,28,41,0,34,47,0
17,Skyline,30,43,0,30,26,0
18,Ohlone,44,45,0,27,37,0
19,De Anza,44,40,0,31,32,0
20,Chabot,56,40,0,32,42,0
21,San Mateo,33,65,0,25,34,0
22,Cañada,43,48,0,27,28,0
23,Las Positas,28,52,0,32,29,0
24,Skyline,30,54,0,31,30,0
25,Ohlone,53,56,0,29,37,0
26,De Anza,39,43,0,29,42,0
27,Chabot,46,37,0,32,48,0
28,San Mateo,56,45,0,30,35,0
29,Fresno,37,51,0,24,38,0
30,San Jose,40,40,0,31,39,0
31,Cerritos,40,42,0,30,40,0
32,Citrus,50,61,0,53,44,0
33,Fullerton,32,43,0,23,35,0
