organization_group_code,job_family_code,job_code,year_type,year,organization_group,department_code,department,union_code,union,job_family,job,employee_identifier,salaries,overtime,other_salaries,total_salary,retirement,health_and_dental,other_benefits,total_benefits,total_compensation
4,2800,2846,Fiscal,2023,Community Health,DPH,Public Health,21,"Prof & Tech Eng, Local 21",Public Health,Nutritionist,52846918,68586.61,0.0,18226.48,86813.09,12782.66,9007.39,6819.16,28609.21,115422.3
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,50859893,147885.97,2584.28,12881.84,163352.09,23099.12,16134.49,10227.73,49461.34,212813.43
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,47356818,0.0,142.79,0.0,142.79,0.0,0.0,10.95,10.95,153.74
4,2600,2654,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Dietary & Food,Cook,50850238,86243.62,33036.06,3166.81,122446.49,16188.53,16796.12,9672.34,42656.99,165103.48
4,2300,2322,Fiscal,2023,Community Health,DPH,Public Health,858,"Teamsters, Local 856, Spv RN",Nursing,Nurse Manager,50877316,247149.69,1140.71,2560.0,250850.4,44327.67,20737.86,13821.05,78886.58,329736.98
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,52066865,74860.09,16860.92,13643.73,105364.74,9115.42,8218.37,1798.2,19131.99,124496.73
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,50850113,192213.21,19817.7,26600.32,238631.23,27330.63,21596.03,10953.1,59879.76,298510.99
2,1200,1246,Fiscal,2023,"Public Works, Transportation & Commerce",DBI,Building Inspection,22,"Prof & Tech Eng, Local 21",Personnel,Prin Human Resources Analyst,54256822,151894.27,0.0,0.0,151894.27,27058.74,0.0,12029.67,39088.41,190982.68
1,8200,8239,Fiscal,2023,Public Protection,DEM,Dept of Emergency Management,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Public SafetyComm Supv,50847867,137351.56,40134.61,5846.1,183332.27,26232.03,16683.07,13126.74,56041.84,239374.11
1,8200,8239,Fiscal,2023,Public Protection,DEM,Dept of Emergency Management,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Public SafetyComm Supv,50870881,72843.42,2037.07,2311.37,77191.86,13826.19,9196.86,6065.27,29088.32,106280.18
1,8200,8238,Fiscal,2023,Public Protection,DEM,Dept of Emergency Management,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Public SafetyComm Disp,50850388,25859.39,13043.06,1707.03,40609.48,0.0,0.0,3084.3,3084.3,43693.78
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,53726867,47504.33,4262.5,9470.9,61237.73,0.0,0.0,4024.48,4024.48,65262.21
2,6200,6242,Fiscal,2023,"Public Works, Transportation & Commerce",DBI,Building Inspection,38,"Plumbers, Local 38",Public Safety Inspection,Plumbing Inspector,52847295,149493.41,155.75,8969.59,158618.75,28238.24,19718.98,11902.98,59860.2,218478.95
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,44038453,0.0,211.14,0.0,211.14,0.0,0.0,16.2,16.2,227.34
4,2500,2591,Fiscal,2023,Community Health,DPH,Public Health,21,"Prof & Tech Eng, Local 21",Med Therapy & Auxiliary,Health Program Coordinator 2,53086840,91376.05,0.0,1697.6,93073.65,16856.56,16263.35,7400.25,40520.16,133593.81
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,52306937,88680.61,9562.31,37225.0,135467.92,15906.51,10005.88,5242.41,31154.8,166622.72
4,2300,2302,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Nursing Assistant,50865663,92362.8,360.2,2282.6,95005.6,17098.45,16796.12,7508.21,41402.78,136408.38
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,50879969,174999.25,154413.04,26930.11,356342.4,34326.62,19095.08,15303.47,68725.17,425067.57
4,2400,2471,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc","Lab, Pharmacy & Med Techs","Radiologic Tech I, II, III",50865457,155155.05,3157.58,24646.11,182958.74,31758.82,16860.72,12458.26,61077.8,244036.54
4,2300,2303,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Patient Care Assistant,53346859,91200.69,23939.54,2272.13,117412.36,16880.36,16625.82,9127.35,42633.53,160045.89
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,50854494,172406.5,19225.17,11819.83,203451.5,29389.46,19384.32,11883.83,60657.61,264109.11
2,6200,6248,Fiscal,2023,"Public Works, Transportation & Commerce",DBI,Building Inspection,6,"Electrical Workers, Local 6",Public Safety Inspection,Electrical Inspector,53376937,148165.0,0.0,8149.05,156314.05,27856.83,19970.59,11599.19,59426.61,215740.66
4,2900,2908,Fiscal,2023,Community Health,DPH,Public Health,535,"SEIU, Local 1021, Misc",Human Services,Sen Hospital Eligibility Wrkr,53956894,102622.04,4.0,3727.6,106353.64,19261.01,16796.12,8398.56,44455.69,150809.33
4,2300,2390,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Sterile Processing & Dist Tech,50848846,96467.02,4514.36,1236.0,102217.38,17856.87,16796.12,7994.85,42647.84,144865.22
4,1600,1632,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc","Payroll, Billing & Accounting",Senior Account Clerk,50858223,88344.06,0.0,1767.6,90111.66,16362.72,16796.12,6522.06,39680.9,129792.56
4,2700,2736,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Housekeeping & Laundry,Porter,50867925,74280.01,3772.13,8100.41,86152.55,14902.02,16788.05,6518.43,38208.5,124361.05
1,8100,8173,Fiscal,2023,Public Protection,DAT,District Attorney,21,"Prof & Tech Eng, Local 21",Legal & Court,Legal Assistant,53726837,110128.1,3056.01,0.0,113184.11,20169.24,16263.35,8735.57,45168.16,158352.27
2,6300,6322,Fiscal,2023,"Public Works, Transportation & Commerce",DBI,Building Inspection,790,"SEIU, Local 1021, Misc",Construction Inspection,Permit Technician II,52847307,96952.01,0.0,1560.0,98512.01,18038.76,16715.61,7714.37,42468.74,140980.75
2,6300,6322,Fiscal,2023,"Public Works, Transportation & Commerce",DBI,Building Inspection,790,"SEIU, Local 1021, Misc",Construction Inspection,Permit Technician II,52847286,98567.0,443.81,0.0,99010.81,18047.5,16796.12,7827.66,42671.28,141682.09
4,2600,2604,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Dietary & Food,Food Service Worker,50848405,67600.01,26086.39,2064.52,95750.92,14261.19,16796.12,7501.5,38558.81,134309.73
4,2900,2903,Fiscal,2023,Community Health,DPH,Public Health,535,"SEIU, Local 1021, Misc",Human Services,Hospital Eligibility Worker,50869614,88344.1,3896.75,1150.0,93390.85,16176.7,16796.12,7374.32,40347.14,133737.99
4,2300,2328,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Nurse Practitioner,53756825,231320.74,0.0,1305.66,232626.4,41237.17,19490.63,13478.64,74206.44,306832.84
4,1400,1404,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc","Clerical, Secretarial & Steno",Clerk,50863952,70851.91,3327.6,2013.6,76193.11,13159.15,16731.52,5925.1,35815.77,112008.88
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,52486828,124683.86,10477.07,9610.3,144771.23,14270.07,0.0,6429.9,20699.97,165471.2
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,53636895,93524.56,2737.64,12974.4,109236.6,16273.05,10536.62,8422.63,35232.3,144468.9
4,2500,2556,Fiscal,2023,Community Health,DPH,Public Health,21,"Prof & Tech Eng, Local 21",Med Therapy & Auxiliary,Physical Therapist,52196909,54188.1,0.0,23851.65,78039.75,9829.36,5999.53,6016.77,21845.66,99885.41
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,53026893,169567.88,10565.89,5759.62,185893.39,30941.87,19469.78,12729.4,63141.05,249034.44
