player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
209331,/player/209331/mohamed-salah/260004/,26,4,9/19/2025,M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,"RM, RW",91,91,82000000,370000,33,6/15/1992,175,72,13,Premier League,1,9,Liverpool,RM,11,,7/1/2017,2027,111,Egypt,,,,Left,3,4,5,,Unique,Yes,151700000,"#Dribbler, #Crosser, #Acrobat","Finesse Shot +, Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch",89,88,86,90,45,76,86,94,59,88,83,90,88,69,81,90,88,89,86,94,91,83,79,88,75,78,63,55,93,89,88,93,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,90+0,89+0,89+0,89+0,90+0,89+2,89+2,89+2,89+2,84+3,84+3,84+3,89+2,72+3,69+3,69+3,69+3,72+3,68+3,59+3,59+3,59+3,68+3,22+3,https://cdn.sofifa.net/players/209/331/26_120.png
231747,/player/231747/kylian-mbappe/260004/,26,4,9/19/2025,K. Mbappé,Kylian Mbappé Lottin,"ST, LW, LM",91,94,173500000,610000,26,12/20/1998,182,75,53,La Liga,1,243,Real Madrid,ST,10,,7/1/2024,2029,18,France,1335,ST,10,Right,4,5,5,,Unique,Yes,368700000,"#Speedster, #Dribbler, #Distance shooter, #Acrobat, #Clinical finisher, #Complete forward","Quick Step +, Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch",97,90,81,92,37,76,78,92,78,87,87,92,80,69,74,93,97,97,93,91,82,91,90,83,77,86,61,38,91,83,82,88,26,34,32,13,5,7,11,6,,90+3,90+3,90+3,90+0,91+0,91+0,91+0,90+0,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,67+3,63+3,63+3,63+3,67+3,63+3,55+3,55+3,55+3,63+3,18+3,https://cdn.sofifa.net/players/231/747/26_120.png
252371,/player/252371/jude-bellingham/260004/,26,4,9/19/2025,J. Bellingham,Jude Victor William Bellingham,"CAM, CM",90,94,174500000,320000,22,6/29/2003,186,75,53,La Liga,1,243,Real Madrid,CAM,5,,7/1/2023,2029,14,England,1318,CAM,10,Right,4,4,5,,Normal (170-185),Yes,370800000,"#Dribbler, #Playmaker , #Clinical finisher, #Complete midfielder, #Complete forward","Relentless +, Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch",80,86,83,90,78,85,66,88,75,90,77,91,73,68,89,91,81,80,83,91,83,86,85,94,80,87,85,82,91,90,74,90,77,79,77,14,11,10,5,8,,86+3,86+3,86+3,87+0,89+0,89+0,89+0,87+0,89+3,89+3,89+3,87+3,89+3,89+3,89+3,87+3,83+3,85+3,85+3,85+3,83+3,82+3,81+3,81+3,81+3,82+3,18+3,https://cdn.sofifa.net/players/252/371/26_120.png
231866,/player/231866/rodrigo-hernandez-cascante/260004/,26,4,9/19/2025,Rodri,Rodrigo Hernández Cascante,"CDM, CM",90,90,102000000,270000,29,6/22/1996,190,82,13,Premier League,1,10,Manchester City,CDM,16,,7/4/2019,2027,45,Spain,1362,SUB,16,Right,4,3,5,,Normal (185+),Yes,188700000,#Distance shooter,"Tiki Taka +, Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser",65,80,86,84,86,85,76,74,81,93,71,84,86,64,91,90,65,65,66,93,67,92,83,91,83,89,85,84,76,84,62,93,88,87,82,10,10,7,14,8,,82+3,82+3,82+3,81+0,83+0,83+0,83+0,81+0,84+3,84+3,84+3,83+3,88+2,88+2,88+2,83+3,84+3,88+2,88+2,88+2,84+3,84+3,85+3,85+3,85+3,84+3,19+3,https://cdn.sofifa.net/players/231/866/26_120.png
231443,/player/231443/ousmane-dembele/260004/,26,4,9/19/2025,O. Dembélé,Masour Ousmane Dembélé,"ST, RW, CAM",90,90,122500000,220000,28,5/15/1997,178,67,16,Ligue 1,1,73,Paris Saint-Germain,ST,10,,8/12/2023,2028,18,France,1335,RW,7,Left,5,5,5,,Unique,Yes,226600000,"#Speedster, #Dribbler, #Distance shooter, #Acrobat, #Clinical finisher, #Complete forward","Rapid +, Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step",91,88,83,93,50,69,80,90,74,89,79,94,85,68,78,94,93,89,94,91,81,91,84,76,69,85,58,45,95,84,80,88,49,49,39,6,6,14,10,13,,89+1,89+1,89+1,90+0,91+-1,91+-1,91+-1,90+0,90+0,90+0,90+0,89+1,83+3,83+3,83+3,89+1,71+3,68+3,68+3,68+3,71+3,67+3,60+3,60+3,60+3,67+3,18+3,https://cdn.sofifa.net/players/231/443/26_120.png
239085,/player/239085/erling-haaland/260004/,26,4,9/19/2025,E. Haaland,Erling Braut Håland,ST,90,92,157000000,260000,24,7/21/2000,195,94,13,Premier League,1,10,Manchester City,ST,9,,7/1/2022,2034,36,Norway,1352,ST,9,Left,3,3,5,,Unique,Yes,302200000,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward","Low Driven Shot +, Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer",86,91,70,80,45,88,58,94,83,77,90,79,77,62,66,82,79,92,71,93,69,94,92,76,93,83,88,43,95,74,90,86,38,47,29,7,14,13,11,7,,89+3,89+3,89+3,82+0,86+0,86+0,86+0,82+0,82+3,82+3,82+3,80+3,76+3,76+3,76+3,80+3,63+3,64+3,64+3,64+3,63+3,61+3,62+3,62+3,62+3,61+3,19+3,https://cdn.sofifa.net/players/239/085/26_120.png
203376,/player/203376/virgil-van-dijk/260004/,26,4,9/19/2025,V. van Dijk,Virgil van Dijk,CB,90,90,57000000,230000,33,7/8/1991,193,92,13,Premier League,1,9,Liverpool,LCB,4,,1/1/2018,2027,34,Netherlands,105035,LCB,4,Right,3,2,5,,Unique,Yes,105500000,"#Tackling , #Tactician , #Strength, #Complete defender","Intercept +, Precision Header, Pinged Pass, Jockey, Anticipate, Aerial Fortress, Bruiser",73,60,72,72,90,87,53,52,88,80,45,70,60,70,83,77,66,78,54,90,50,81,89,75,93,64,85,91,47,70,62,90,91,91,87,13,10,13,11,11,,70+3,70+3,70+3,67+0,70+0,70+0,70+0,67+0,71+3,71+3,71+3,70+3,76+3,76+3,76+3,70+3,79+3,85+3,85+3,85+3,79+3,82+3,89+1,89+1,89+1,82+3,20+3,https://cdn.sofifa.net/players/203/376/26_120.png
239053,/player/239053/federico-valverde/260004/,26,4,9/19/2025,F. Valverde,Federico Santiago Valverde Dipetta,"CM, CDM, RB",89,90,120500000,340000,26,7/22/1998,182,74,53,La Liga,1,243,Real Madrid,RDM,8,,7/22/2016,2029,60,Uruguay,,,,Right,4,3,4,,Unique,Yes,256100000,"#Playmaker , #Distance shooter, #Tackling , #Tactician , #Complete midfielder","Relentless +, Power Shot, Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid",88,84,84,84,83,85,78,80,63,88,78,84,76,69,88,88,84,92,77,89,68,91,82,93,82,91,81,86,86,86,59,84,82,87,86,6,10,6,15,8,,84+3,84+3,84+3,85+0,86+0,86+0,86+0,85+0,86+3,86+3,86+3,86+3,88+2,88+2,88+2,86+3,86+3,87+3,87+3,87+3,86+3,86+3,83+3,83+3,83+3,86+3,18+3,https://cdn.sofifa.net/players/239/053/26_120.png
212622,/player/212622/joshua-kimmich/260004/,26,4,9/19/2025,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",89,89,86000000,140000,30,2/8/1995,177,75,19,Bundesliga,1,21,FC Bayern München,RDM,6,,7/1/2015,2029,21,Germany,1337,RCM,6,Right,4,3,4,,Normal (170-185),Yes,141900000,"#Playmaker , #Crosser, #Tackling , #Complete midfielder","Long Ball Pass +, Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless",72,74,89,84,83,79,92,68,72,89,69,82,85,79,92,86,75,70,83,89,84,78,77,92,69,83,89,85,78,86,71,86,82,86,85,8,15,7,15,15,,77+3,77+3,77+3,82+0,81+0,81+0,81+0,82+0,83+3,83+3,83+3,84+3,87+2,87+2,87+2,84+3,86+3,87+2,87+2,87+2,86+3,85+3,82+3,82+3,82+3,85+3,21+3,https://cdn.sofifa.net/players/212/622/26_120.png
235212,/player/235212/achraf-hakimi/260004/,26,4,9/19/2025,A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,"RB, RM",89,90,111000000,170000,26,11/4/1998,181,73,16,Ligue 1,1,73,Paris Saint-Germain,RB,2,,7/6/2021,2029,129,Morocco,111111,RB,2,Right,4,4,4,,Lean (170-185),Yes,213700000,#Speedster,"Relentless +, Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step",92,79,82,83,82,79,85,80,71,86,74,82,78,80,73,85,89,95,81,90,78,82,84,95,72,77,77,85,84,78,68,84,82,85,79,10,8,14,6,8,,82+3,82+3,82+3,84+0,84+0,84+0,84+0,84+0,83+3,83+3,83+3,85+3,83+3,83+3,83+3,85+3,86+3,83+3,83+3,83+3,86+3,86+3,81+3,81+3,81+3,86+3,17+3,https://cdn.sofifa.net/players/235/212/26_120.png
