Customer Number,Product,Ad,Amount ($)
11,Gadget,No,19
8,Gadget,No,27
4,Gadget,No,15
14,Gadget,No,22
1,Gadget,No,28
3,Thingamajig,No,14
14,Gadget,No,10
1,Doodad,No,16
13,Gadget,No,12
11,Doodad,No,10
12,Gadget,No,30
14,Widget,No,27
9,Doodad,No,29
11,Widget,No,17
4,Gadget,No,31
14,Gadget,No,12
1,Widget,No,28
4,Gadget,No,25
9,Thingamajig,No,22
12,Thingamajig,No,15
3,Gadget,No,14
9,Widget,No,12
1,Doodad,No,21
11,Doodad,No,15
5,Widget,No,16
6,Doodad,No,14
10,Widget,No,11
4,Doodad,No,24
10,Doodad,No,26
12,Doodad,No,24
6,Doodad,No,20
6,Doodad,No,10
5,Doodad,No,14
1,Thingamajig,No,27
13,Widget,No,10
4,Gadget,No,12
8,Doodad,No,31
4,Doodad,No,13
1,Widget,No,21
13,Thingamajig,No,16
13,Widget,No,16
8,Doodad,No,21
3,Doodad,No,12
6,Doodad,No,12
10,Gadget,No,20
8,Gadget,No,29
12,Doodad,No,28
11,Gadget,No,10
4,Doodad,No,28
5,Doodad,No,27
2,Gadget,No,16
10,Gadget,No,21
14,Doodad,No,22
12,Doodad,No,28
4,Doodad,No,13
6,Doodad,No,13
2,Doodad,No,15
9,Widget,No,13
8,Widget,No,25
8,Widget,No,31
4,Gadget,No,24
12,Doodad,No,25
8,Widget,No,20
14,Gadget,No,24
12,Doodad,No,28
9,Widget,No,11
8,Gadget,No,31
13,Gadget,No,18
12,Gadget,No,19
5,Widget,No,28
13,Doodad,No,16
10,Widget,No,24
14,Widget,No,11
3,Widget,No,29
5,Gadget,No,24
14,Gadget,No,23
7,Doodad,No,10
2,Doodad,No,31
6,Widget,No,20
8,Doodad,No,28
11,Doodad,No,12
4,Gadget,No,23
2,Gadget,No,12
9,Gadget,No,18
8,Doodad,No,13
14,Gadget,No,20
13,Gadget,No,15
2,Gadget,No,18
3,Thingamajig,No,10
2,Widget,No,21
7,Doodad,No,10
11,Gadget,No,28
8,Doodad,No,21
7,Widget,No,10
4,Gadget,No,27
14,Widget,No,24
6,Doodad,No,20
8,Gadget,No,16
3,Thingamajig,No,14
9,Gadget,No,15
2,Gadget,No,13
5,Thingamajig,No,27
9,Gadget,No,12
2,Widget,No,17
14,Widget,No,31
3,Gadget,No,14
13,Gadget,No,12
13,Gadget,No,13
9,Gadget,No,27
11,Thingamajig,No,10
2,Thingamajig,No,26
12,Doodad,No,12
1,Gadget,No,20
4,Widget,No,18
9,Widget,No,29
7,Gadget,No,31
1,Widget,No,30
1,Thingamajig,No,15
9,Doodad,No,20
5,Doodad,No,29
3,Gadget,No,15
7,Gadget,No,24
8,Gadget,No,17
3,Gadget,No,17
13,Thingamajig,No,29
11,Widget,No,11
4,Thingamajig,No,29
4,Doodad,No,20
4,Doodad,No,19
2,Gadget,No,20
8,Doodad,No,31
3,Doodad,No,29
8,Gadget,No,21
2,Gadget,No,17
5,Gadget,No,21
3,Gadget,No,25
1,Thingamajig,No,17
2,Gadget,No,10
2,Gadget,No,28
10,Doodad,No,12
5,Thingamajig,No,31
9,Gadget,No,29
2,Widget,No,23
6,Thingamajig,No,26
14,Gadget,No,18
7,Doodad,No,17
1,Gadget,No,22
9,Thingamajig,No,18
6,Thingamajig,No,11
6,Gadget,No,30
7,Gadget,No,23
10,Gadget,No,15
2,Gadget,No,27
11,Thingamajig,No,19
10,Thingamajig,No,14
6,Widget,No,30
7,Gadget,No,31
2,Thingamajig,No,13
7,Gadget,No,14
1,Thingamajig,No,19
11,Thingamajig,No,31
12,Gadget,No,31
11,Gadget,No,12
2,Widget,No,30
14,Widget,No,28
7,Doodad,No,12
11,Doodad,No,26
6,Widget,No,11
4,Widget,No,13
1,Gadget,No,17
11,Thingamajig,No,17
4,Widget,No,20
12,Widget,No,30
6,Doodad,No,15
13,Gadget,No,31
14,Doodad,No,11
11,Gadget,No,26
4,Gadget,No,27
6,Gadget,No,18
6,Gadget,No,13
9,Widget,No,31
4,Doodad,No,10
13,Gadget,No,21
9,Thingamajig,No,10
12,Gadget,No,28
3,Gadget,No,12
11,Gadget,No,19
4,Thingamajig,No,22
4,Widget,No,16
5,Doodad,No,14
13,Thingamajig,No,13
8,Thingamajig,No,17
14,Gadget,No,29
3,Thingamajig,No,16
3,Doodad,No,11
11,Gadget,No,19
13,Doodad,No,28
10,Doodad,No,21
1,Widget,No,31
2,Gadget,No,17
14,Gadget,Yes,9
4,Doodad,Yes,7
13,Thingamajig,Yes,5
1,Widget,Yes,24
12,Doodad,Yes,12
1,Thingamajig,Yes,16
14,Doodad,Yes,11
10,Widget,Yes,16
6,Widget,Yes,10
10,Thingamajig,Yes,18
14,Gadget,Yes,23
10,Widget,Yes,7
11,Gadget,Yes,24
4,Gadget,Yes,8
12,Gadget,Yes,22
8,Gadget,Yes,9
8,Doodad,Yes,9
8,Gadget,Yes,19
11,Widget,Yes,13
12,Widget,Yes,24
1,Widget,Yes,11
11,Thingamajig,Yes,8
5,Gadget,Yes,21
1,Widget,Yes,21
8,Gadget,Yes,16
3,Doodad,Yes,23
8,Widget,Yes,9
8,Widget,Yes,10
3,Gadget,Yes,15
13,Gadget,Yes,21
2,Widget,Yes,21
3,Thingamajig,Yes,20
1,Gadget,Yes,5
9,Widget,Yes,24
3,Thingamajig,Yes,5
13,Gadget,Yes,13
11,Doodad,Yes,16
3,Gadget,Yes,19
6,Doodad,Yes,17
6,Doodad,Yes,16
6,Widget,Yes,12
13,Widget,Yes,6
6,Gadget,Yes,5
11,Thingamajig,Yes,20
13,Thingamajig,Yes,16
6,Gadget,Yes,12
5,Thingamajig,Yes,18
1,Doodad,Yes,10
5,Widget,Yes,14
5,Gadget,Yes,20
9,Doodad,Yes,18
2,Widget,Yes,11
5,Doodad,Yes,7
3,Widget,Yes,23
5,Doodad,Yes,14
2,Gadget,Yes,19
11,Gadget,Yes,13
4,Gadget,Yes,12
2,Doodad,Yes,6
13,Widget,Yes,10
13,Widget,Yes,22
14,Gadget,Yes,20
4,Gadget,Yes,24
12,Gadget,Yes,9
13,Doodad,Yes,16
1,Widget,Yes,21
14,Doodad,Yes,17
5,Doodad,Yes,12
12,Widget,Yes,17
10,Doodad,Yes,8
3,Thingamajig,Yes,19
5,Thingamajig,Yes,13
1,Doodad,Yes,14
3,Gadget,Yes,6
7,Gadget,Yes,19
2,Widget,Yes,21
12,Widget,Yes,10
4,Gadget,Yes,20
3,Thingamajig,Yes,24
6,Thingamajig,Yes,19
4,Doodad,Yes,5
8,Gadget,Yes,8
9,Gadget,Yes,23
1,Gadget,Yes,9
1,Gadget,Yes,15
3,Gadget,Yes,12
1,Gadget,Yes,6
5,Doodad,Yes,13
7,Thingamajig,Yes,9
4,Widget,Yes,24
2,Thingamajig,Yes,14
7,Doodad,Yes,7
6,Gadget,Yes,5
6,Doodad,Yes,16
14,Widget,Yes,12
12,Doodad,Yes,11
9,Widget,Yes,5
6,Doodad,Yes,14
3,Gadget,Yes,11
14,Gadget,Yes,15
8,Thingamajig,Yes,10
12,Thingamajig,Yes,15
12,Thingamajig,Yes,22
7,Widget,Yes,13
11,Doodad,Yes,19
10,Widget,Yes,5
3,Doodad,Yes,22
12,Widget,Yes,12
2,Thingamajig,Yes,9
13,Doodad,Yes,24
5,Thingamajig,Yes,12
9,Doodad,Yes,8
13,Gadget,Yes,6
2,Gadget,Yes,15
9,Widget,Yes,9
1,Doodad,Yes,9
7,Thingamajig,Yes,20
10,Doodad,Yes,5
13,Doodad,Yes,7
8,Gadget,Yes,7
8,Gadget,Yes,5
10,Widget,Yes,19
2,Gadget,Yes,10
13,Widget,Yes,16
5,Gadget,Yes,9
9,Gadget,Yes,21
2,Widget,Yes,11
10,Gadget,Yes,20
1,Thingamajig,Yes,21
1,Doodad,Yes,8
11,Widget,Yes,12
14,Widget,Yes,10
13,Thingamajig,Yes,22
11,Thingamajig,Yes,23
10,Doodad,Yes,16
13,Doodad,Yes,21
6,Gadget,Yes,7
4,Gadget,Yes,9
7,Gadget,Yes,19
1,Thingamajig,Yes,8
4,Doodad,Yes,10
12,Doodad,Yes,24
1,Doodad,Yes,17
14,Gadget,Yes,19
3,Thingamajig,Yes,7
6,Gadget,Yes,23
2,Doodad,Yes,18
12,Widget,Yes,18
7,Doodad,Yes,18
2,Gadget,Yes,10
7,Widget,Yes,16
10,Gadget,Yes,6
10,Gadget,Yes,14
11,Widget,Yes,23
8,Gadget,Yes,6
4,Gadget,Yes,11
12,Widget,Yes,16
2,Gadget,Yes,18
14,Widget,Yes,22
8,Gadget,Yes,16
1,Widget,Yes,21
11,Gadget,Yes,18
14,Doodad,Yes,16
8,Widget,Yes,20
1,Gadget,Yes,20
5,Widget,Yes,13
9,Doodad,Yes,7
3,Thingamajig,Yes,7
14,Doodad,Yes,11
3,Gadget,Yes,5
14,Gadget,Yes,6
5,Gadget,Yes,24
3,Gadget,Yes,16
7,Gadget,Yes,14
14,Widget,Yes,17
9,Gadget,Yes,21
4,Gadget,Yes,11
2,Gadget,Yes,24
7,Widget,Yes,5
9,Gadget,Yes,24
6,Widget,Yes,18
2,Widget,Yes,11
7,Doodad,Yes,9
3,Widget,Yes,12
11,Doodad,Yes,21
7,Doodad,Yes,23
2,Doodad,Yes,5
4,Gadget,Yes,22
9,Gadget,Yes,21
7,Gadget,Yes,23
10,Doodad,Yes,8
6,Gadget,Yes,16
14,Doodad,Yes,10
3,Gadget,Yes,11
13,Widget,Yes,23
10,Gadget,Yes,15
8,Gadget,Yes,13
3,Widget,Yes,13
13,Thingamajig,Yes,12
