Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Shai Gilgeous-Alexander,26,OKC,76,379,486,131,77,183,2484
Anthony Edwards,23,MIN,79,450,359,91,51,249,2177
Nikola Jokić,29,DEN,70,892,716,127,45,230,2071
Giannis Antetokounmpo,30,MIL,67,798,433,58,78,206,2036
Jayson Tatum,26,BOS,72,623,431,76,38,209,1932
Devin Booker,28,PHO,75,305,529,67,16,220,1923
Trae Young,26,ATL,76,236,880,91,12,355,1841
Tyler Herro,25,MIA,77,399,424,69,17,198,1840
Cade Cunningham,23,DET,70,425,638,71,53,309,1830
James Harden,35,LAC,79,456,687,118,55,341,1802
Karl-Anthony Towns,29,NYK,72,920,222,71,50,192,1759
Zach LaVine,29,2TM,74,315,310,58,12,208,1724
Jalen Green,22,HOU,82,377,282,71,27,203,1723
Stephen Curry,36,GSW,70,310,421,80,30,200,1718
DeMar DeRozan,35,SAC,77,298,342,62,32,105,1710
LeBron James,40,LAL,70,546,575,70,39,260,1710
Donovan Mitchell,28,CLE,71,322,354,95,17,149,1701
Jalen Brunson,28,NYK,65,187,475,60,8,164,1690
Kevin Durant,36,PHO,62,374,263,50,77,190,1647
Jaren Jackson Jr.,25,MEM,74,417,148,92,113,153,1641
Pascal Siakam,30,IND,78,540,263,70,42,109,1578
Darius Garland,25,CLE,75,214,506,91,11,189,1544
Coby White,24,CHI,74,273,330,69,16,177,1509
Jalen Williams,23,OKC,69,369,354,111,46,150,1490
Austin Reaves,26,LAL,73,329,421,81,22,177,1475
De'Aaron Fox,27,2TM,62,298,392,91,25,174,1459
Alperen Şengün,22,HOU,76,786,372,84,61,194,1451
Franz Wagner,23,ORL,60,342,284,75,21,138,1449
Damian Lillard,34,MIL,58,272,410,70,10,162,1447
Mikal Bridges,28,NYK,82,259,306,75,43,132,1444
Jamal Murray,27,DEN,67,261,403,91,33,138,1436
Bam Adebayo,27,MIA,78,749,337,98,53,161,1410
Luka Dončić,25,2TM,50,409,383,89,21,179,1408
Jaylen Brown,28,BOS,63,368,286,73,19,162,1398
Michael Porter Jr.,26,DEN,77,540,165,50,38,104,1398
Jordan Poole,25,WAS,68,203,303,86,27,204,1391
Tyrese Maxey,24,PHI,52,174,317,91,21,124,1369
Tyrese Haliburton,24,IND,73,258,673,105,49,120,1359
Nikola Vučević,34,CHI,73,735,256,61,52,119,1349
Anfernee Simons,25,POR,70,189,337,60,5,143,1348
Ivica Zubac,27,LAC,80,1010,214,55,90,127,1340
Domantas Sabonis,28,SAC,70,972,423,48,26,202,1337
Malik Beasley,28,DET,82,214,139,73,5,83,1336
Shaedon Sharpe,21,POR,72,324,198,62,16,150,1335
OG Anunoby,27,NYK,74,358,164,110,65,102,1332
Desmond Bane,26,MEM,69,418,369,80,28,169,1327
Evan Mobley,23,CLE,71,659,226,61,113,145,1316
Norman Powell,31,LAC,60,190,125,73,9,108,1306
Miles Bridges,26,CHO,64,481,248,44,45,136,1300
Julius Randle,30,MIN,69,487,323,47,16,196,1288
Anthony Davis,31,2TM,51,590,181,59,110,113,1261
Scottie Barnes,23,TOR,65,502,378,93,63,185,1252
Derrick White,30,BOS,76,341,361,72,80,131,1248
Kyrie Irving,32,DAL,50,240,231,66,23,111,1234
RJ Barrett,24,TOR,58,366,314,46,17,165,1223
Deni Avdija,24,POR,72,522,281,71,35,196,1219
Christian Braun,23,DEN,79,410,205,85,37,81,1218
Paolo Banchero,22,ORL,46,345,219,36,28,136,1191
Stephon Castle,20,SAS,81,297,332,74,22,177,1190
LaMelo Ball,23,CHO,47,232,346,54,13,167,1184
CJ McCollum,33,NOP,56,212,227,46,24,106,1183
Ja Morant,25,MEM,50,205,364,61,12,185,1159
Collin Sexton,26,UTA,63,171,264,47,6,160,1159
Bennedict Mathurin,22,IND,72,383,136,47,24,135,1156
Payton Pritchard,27,BOS,80,307,279,70,14,83,1144
Naz Reid,25,MIN,80,480,181,58,72,108,1138
Keyonte George,21,UTA,67,253,377,46,9,183,1125
Trey Murphy III,24,NOP,53,268,188,56,39,103,1124
Myles Turner,28,IND,72,471,111,54,144,123,1120
Malik Monk,26,SAC,65,245,362,61,38,159,1117
Victor Wembanyama,21,SAS,46,506,168,52,176,149,1116
Jarrett Allen,26,CLE,82,798,158,77,73,97,1103
Quentin Grimes,24,2TM,75,324,228,74,22,141,1092
De'Andre Hunter,27,2TM,64,258,92,50,13,82,1088
Andrew Wiggins,29,2TM,60,269,158,60,50,99,1078
Dyson Daniels,21,ATL,76,449,333,229,55,155,1073
Cameron Johnson,28,BRK,57,247,194,53,25,99,1070
Dillon Brooks,29,HOU,75,275,128,60,16,76,1053
Josh Hart,29,NYK,77,737,453,119,27,158,1051
Brook Lopez,36,MIL,80,401,143,50,148,84,1041
Devin Vassell,24,SAS,64,255,183,84,33,88,1041
Josh Giddey,22,CHI,70,566,503,84,45,202,1022
Harrison Barnes,32,SAS,82,310,136,39,14,50,1011
Klay Thompson,34,DAL,72,246,145,50,30,88,1005
Tobias Harris,32,DET,73,432,162,74,57,85,1002
Jaden McDaniels,24,MIN,82,470,163,110,74,95,1000
Russell Westbrook,36,DEN,75,370,457,106,37,242,994
Onyeka Okongwu,24,ATL,74,660,168,69,68,90,988
Dennis Schröder,31,3TM,75,198,404,66,12,142,980
Keldon Johnson,25,SAS,77,371,125,49,22,77,979
