Pitch Clock,Time (minutes)
0,206
0,177
0,163
0,210
0,193
0,131
0,176
0,199
0,177
0,213
0,161
0,200
0,155
0,173
0,168
0,199
0,181
0,181
0,180
0,226
0,200
0,217
0,185
0,180
0,181
0,172
0,202
0,188
0,195
0,190
0,194
0,186
0,185
0,185
0,203
0,220
0,162
0,203
0,185
0,177
0,171
0,230
0,164
0,196
0,180
0,190
0,193
0,182
0,154
0,190
0,174
0,190
0,193
0,169
0,176
0,165
0,212
0,176
0,168
0,180
0,172
0,166
0,233
0,158
0,174
0,208
0,172
0,188
0,171
0,163
0,178
0,196
0,169
0,179
0,198
0,202
0,193
0,187
0,203
0,202
0,196
0,171
0,186
0,226
0,165
0,185
0,232
0,214
0,169
0,169
0,209
0,184
0,201
0,205
0,163
0,190
0,183
0,180
0,197
0,186
0,178
0,170
0,183
0,186
0,188
0,201
0,198
0,195
0,212
0,212
0,195
0,165
0,206
0,180
0,166
0,187
0,175
0,176
0,187
0,227
0,172
0,173
0,175
0,237
0,207
0,224
0,215
0,193
0,185
0,213
0,190
0,181
0,163
0,193
0,140
0,188
0,172
0,163
0,201
0,167
0,181
0,165
0,179
0,192
0,225
0,187
0,159
0,182
0,217
0,157
0,199
0,153
0,199
0,177
0,179
0,190
0,216
0,192
0,164
0,187
1,153
1,147
1,156
1,169
1,170
1,143
1,143
1,135
1,151
1,158
1,190
1,185
1,139
1,147
1,154
1,135
1,155
1,157
1,140
1,154
1,171
1,164
1,172
1,158
1,159
1,134
1,157
1,150
1,171
1,134
1,142
1,149
1,165
1,176
1,154
1,144
1,153
1,162
1,175
1,144
1,136
1,144
1,159
1,160
1,172
1,166
1,162
1,153
1,167
1,140
1,164
1,152
1,149
1,155
1,157
1,208
1,167
1,166
1,156
1,133
1,186
1,151
1,197
1,172
1,147
1,153
1,184
1,160
1,168
1,139
1,145
1,159
1,165
1,165
1,131
1,135
1,167
1,130
1,197
1,154
1,140
1,146
1,135
1,158
1,116
1,164
1,145
1,187
1,156
1,130
1,137
1,144
1,144
1,148
1,136
1,140
1,148
1,137
1,158
1,193
1,175
1,142
1,133
1,125
1,154
1,184
1,170
1,156
1,155
1,139
1,164
1,150
1,165
1,135
1,145
1,152
1,145
1,191
1,164
1,174
1,135
1,161
1,167
1,145
1,135
1,152
1,171
1,170
1,147
1,154
1,119
1,191
1,138
1,173
1,164
1,152
1,201
1,137
1,182
1,146
1,176
1,157
1,197
1,159
1,150
1,158
1,160
1,150
1,172
1,143
1,139
1,172
1,145
1,127
1,164
1,192
