unique_identifier,parcel_number,building_name,building_address,postal_code,floor_area,category,property_type,pim_link,year_built,energy_audit_due_date,energy_audit_status,benchmark_year,energy_star_score,site_eui,source_eui,percent_better_than_national_median_site_eui,weather_normalized_site_eui,weather_normalized_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,electricity_use_grid_purchase,natural_gas_use,district_steam_use,site_energy_use,benchmark_status,reason_for_exemption,point,longitude,latitude,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
0010/001_2021,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2021,86.0,46.5,80.5,-0.454,47.0,81.1,347.8,2.6,709465.0,3789318.1,,6210013.0,2021 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2019,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2019,73.0,55.6,105.1,-0.29,57.8,107.4,456.7,3.4,1046512.1,3863610.0,,7434309.8,2019 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2017,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2017,76.0,66.6,148.4,-0.278,68.1,150.1,586.8,4.4,,,,,2017 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2015,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2015,72.0,72.0,153.9,-0.23,73.7,155.6,653.2,4.9,,,,,2015 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2016,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2016,75.0,68.2,149.7,-0.263,71.5,153.2,652.4,4.9,,,,,2016 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2022,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2022,84.0,46.2,85.7,-0.427,46.0,85.5,371.6,2.8,833783.8,3326330.2,,6171200.8,2022 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2018,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2018,65.0,59.8,119.1,-0.148,59.8,119.2,499.1,3.7,1261254.8,3689188.2,,7992590.1,2018 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2013,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2013,74.0,81.3,166.9,-0.262,81.6,167.2,786.5,5.7,,,,,2013 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2011,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2011,,,,,,,,,,,,,2011 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2012,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2012,81.0,71.0,149.9,-0.345,70.7,149.7,696.4,,,,,,2012 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2020,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2020,,48.9,88.2,-0.399,52.5,91.9,384.6,2.9,824915.1,3728708.1,,6543318.8,2020 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/001_2014,0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109.0,133675,Office,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/001,1907.0,2024-04-01T00:00:00.000,Upcoming,2014,56.0,73.4,158.5,-0.065,77.1,162.4,668.9,5.0,,,,,2014 - Complied,nan,POINT (-122.419470839 37.807277976),-122.419470839,37.8072779758,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/002_2021,0010/002,Argonaut Hotel-SV,495 JEFFERSON ST,94109.0,180000,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/002,1907.0,2025-04-01T00:00:00.000,Upcoming,2021,98.0,40.8,74.9,-0.524,40.8,74.9,414.3,2.3,966697.8,4042700.1,,7341073.5,2021 - Complied,nan,POINT (-122.420174257 37.807174798),-122.420174257,37.8071747976,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
0010/002_2019,0010/002,Argonaut Hotel-SV,495 JEFFERSON ST,94109.0,180000,Hotel,Commercial,https://sfplanninggis.org/PIM/?tab=Property&search=0010/002,1907.0,2025-04-01T00:00:00.000,Upcoming,2019,,,,,,,,,,,,,2019 - Violation - Insufficient Data,nan,POINT (-122.420174257 37.807174798),-122.420174257,37.8071747976,Russian Hill,3,2024-02-06T17:45:41.000,2024-02-07T10:47:48.991
