FL_DATE,OP_CARRIER,ORIGIN,DEST,ARR_DELAY
6/1/25 12:00 AM,AA,ABQ,DFW,-26
6/1/25 12:00 AM,AA,ABQ,DFW,-22
6/1/25 12:00 AM,AA,ABQ,DFW,-7
6/1/25 12:00 AM,AA,ABQ,DFW,4
6/1/25 12:00 AM,AA,ABQ,DFW,17
6/1/25 12:00 AM,AA,ABQ,DFW,54
6/1/25 12:00 AM,AA,ABQ,ORD,-18
6/1/25 12:00 AM,AA,ABQ,ORD,7
6/1/25 12:00 AM,AA,ABQ,PHX,5
6/1/25 12:00 AM,AA,ALB,CLT,-17
6/1/25 12:00 AM,AA,ALB,CLT,-2
6/1/25 12:00 AM,AA,ALB,DFW,4
6/1/25 12:00 AM,AA,ANC,DFW,7
6/1/25 12:00 AM,AA,ANC,ORD,6
6/1/25 12:00 AM,AA,ATL,CLT,-25
6/1/25 12:00 AM,AA,ATL,CLT,-12
6/1/25 12:00 AM,AA,ATL,DCA,-18
6/1/25 12:00 AM,AA,ATL,DFW,-27
6/1/25 12:00 AM,AA,ATL,DFW,-25
6/1/25 12:00 AM,AA,ATL,DFW,-21
6/1/25 12:00 AM,AA,ATL,DFW,-14
6/1/25 12:00 AM,AA,ATL,DFW,-14
6/1/25 12:00 AM,AA,ATL,DFW,-7
6/1/25 12:00 AM,AA,ATL,DFW,71
6/1/25 12:00 AM,AA,ATL,DFW,186
6/1/25 12:00 AM,AA,ATL,LAX,-42
6/1/25 12:00 AM,AA,ATL,MIA,-14
6/1/25 12:00 AM,AA,ATL,MIA,-5
6/1/25 12:00 AM,AA,ATL,MIA,7
6/1/25 12:00 AM,AA,ATL,MIA,65
6/1/25 12:00 AM,AA,ATL,ORD,-16
6/1/25 12:00 AM,AA,ATL,PHL,-3
6/1/25 12:00 AM,AA,ATL,PHX,-34
6/1/25 12:00 AM,AA,ATL,PHX,-12
6/1/25 12:00 AM,AA,AUS,CLT,-31
6/1/25 12:00 AM,AA,AUS,CLT,-19
6/1/25 12:00 AM,AA,AUS,CLT,-15
6/1/25 12:00 AM,AA,AUS,CLT,0
6/1/25 12:00 AM,AA,AUS,CLT,223
6/1/25 12:00 AM,AA,AUS,DFW,-19
6/1/25 12:00 AM,AA,AUS,DFW,-17
6/1/25 12:00 AM,AA,AUS,DFW,-16
6/1/25 12:00 AM,AA,AUS,DFW,-11
6/1/25 12:00 AM,AA,AUS,DFW,-9
6/1/25 12:00 AM,AA,AUS,DFW,1
6/1/25 12:00 AM,AA,AUS,DFW,19
6/1/25 12:00 AM,AA,AUS,DFW,46
6/1/25 12:00 AM,AA,AUS,DFW,63
6/1/25 12:00 AM,AA,AUS,DFW,101
6/1/25 12:00 AM,AA,AUS,DFW,147
6/1/25 12:00 AM,AA,AUS,JFK,-29
6/1/25 12:00 AM,AA,AUS,JFK,4
6/1/25 12:00 AM,AA,AUS,LAX,-28
6/1/25 12:00 AM,AA,AUS,LAX,-25
6/1/25 12:00 AM,AA,AUS,LAX,4
6/1/25 12:00 AM,AA,AUS,MIA,-8
6/1/25 12:00 AM,AA,AUS,MIA,-4
6/1/25 12:00 AM,AA,AUS,MIA,2
6/1/25 12:00 AM,AA,AUS,MIA,6
6/1/25 12:00 AM,AA,AUS,ORD,-7
6/1/25 12:00 AM,AA,AUS,ORD,-1
6/1/25 12:00 AM,AA,AUS,ORD,1
6/1/25 12:00 AM,AA,AUS,PHL,-19
6/1/25 12:00 AM,AA,AUS,PHL,-6
6/1/25 12:00 AM,AA,AUS,PHL,15
6/1/25 12:00 AM,AA,AUS,PHX,-14
6/1/25 12:00 AM,AA,AUS,PHX,-13
6/1/25 12:00 AM,AA,AUS,PHX,20
6/1/25 12:00 AM,AA,AUS,PHX,25
6/1/25 12:00 AM,AA,AVL,CLT,-19
6/1/25 12:00 AM,AA,AVL,CLT,40
6/1/25 12:00 AM,AA,AVL,DFW,-8
6/1/25 12:00 AM,AA,BDL,CLT,-25
6/1/25 12:00 AM,AA,BDL,CLT,-22
6/1/25 12:00 AM,AA,BDL,CLT,-21
6/1/25 12:00 AM,AA,BDL,CLT,-17
6/1/25 12:00 AM,AA,BDL,CLT,-12
6/1/25 12:00 AM,AA,BDL,CLT,-7
6/1/25 12:00 AM,AA,BDL,DCA,-31
6/1/25 12:00 AM,AA,BDL,DCA,-5
6/1/25 12:00 AM,AA,BDL,DCA,18
6/1/25 12:00 AM,AA,BDL,DFW,
6/1/25 12:00 AM,AA,BDL,DFW,-14
6/1/25 12:00 AM,AA,BDL,DFW,0
6/1/25 12:00 AM,AA,BDL,MIA,8
6/1/25 12:00 AM,AA,BDL,ORD,-21
6/1/25 12:00 AM,AA,BDL,ORD,43
6/1/25 12:00 AM,AA,BDL,PHL,-19
6/1/25 12:00 AM,AA,BFL,DFW,-19
6/1/25 12:00 AM,AA,BFL,PHX,338
