State,County,Population
 Alabama,Autauga County,58800
 Alabama,Baldwin County,231767
 Alabama,Barbour County,25226
 Alabama,Bibb County,22284
 Alabama,Blount County,59130
 Alabama,Bullock County,10355
 Alabama,Butler County,19048
 Alabama,Calhoun County,116437
 Alabama,Chambers County,34692
 Alabama,Cherokee County,24984
 Alabama,Chilton County,45012
 Alabama,Choctaw County,12664
 Alabama,Clarke County,23091
 Alabama,Clay County,14235
 Alabama,Cleburne County,15055
 Alabama,Coffee County,53470
 Alabama,Colbert County,57232
 Alabama,Conecuh County,11594
 Alabama,Coosa County,10379
 Alabama,Covington County,37570
 Alabama,Crenshaw County,13201
 Alabama,Cullman County,87861
 Alabama,Dale County,49320
 Alabama,Dallas County,38470
 Alabama,DeKalb County,71627
 Alabama,Elmore County,87980
 Alabama,Escambia County,36768
 Alabama,Etowah County,103415
 Alabama,Fayette County,16322
 Alabama,Franklin County,32111
 Alabama,Geneva County,26662
 Alabama,Greene County,7732
 Alabama,Hale County,14788
 Alabama,Henry County,17141
 Alabama,Houston County,107213
 Alabama,Jackson County,52563
 Alabama,Jefferson County,674311
 Alabama,Lamar County,13971
 Alabama,Lauderdale County,93560
 Alabama,Lawrence County,33058
 Alabama,Lee County,174341
 Alabama,Limestone County,103561
 Alabama,Lowndes County,10319
 Alabama,Macon County,19531
 Alabama,Madison County,388156
 Alabama,Marengo County,19325
 Alabama,Marion County,29334
 Alabama,Marshall County,97609
 Alabama,Mobile County,414810
 Alabama,Monroe County,19768
 Alabama,Montgomery County,228957
 Alabama,Morgan County,123452
 Alabama,Perry County,8511
 Alabama,Pickens County,19125
 Alabama,Pike County,33003
 Alabama,Randolph County,21966
 Alabama,Russell County,59171
 Alabama,St Clair County,91494
 Alabama,Shelby County,223024
 Alabama,Sumter County,12343
 Alabama,Talladega County,82153
 Alabama,Tallapoosa County,41311
 Alabama,Tuscaloosa County,228135
 Alabama,Walker County,65345
 Alabama,Washington County,15390
 Alabama,Wilcox County,10596
 Alabama,Winston County,23540
 Alaska,Aleutians East Borough,3420
 Alaska,Aleutians West Census Area,5232
 Alaska,Anchorage Municipality,291246
 Alaska,Bethel Census Area,18664
 Alaska,Bristol Bay Borough,843
 Alaska,Chugach Census Area,7104
 Alaska,Copper River Census Area,2616
 Alaska,Denali Borough,1624
 Alaska,Dillingham Census Area,4858
 Alaska,Fairbanks North Star Borough,95667
 Alaska,Haines Borough,2079
 Alaska,Hoonah-Angoon Census Area,2356
 Alaska,Juneau City and Borough,32250
 Alaska,Kenai Peninsula Borough,58797
 Alaska,Ketchikan Gateway Borough,13950
 Alaska,Kodiak Island Borough,13097
 Alaska,Kusilvak Census Area,8368
 Alaska,Lake and Peninsula Borough,1476
 Alaska,Matanuska-Susitna Borough,107078
 Alaska,Nome Census Area,10039
 Alaska,North Slope Borough,11037
 Alaska,Northwest Arctic Borough,7794
 Alaska,Petersburg Borough,3401
 Alaska,Prince of Wales-Hyder Census Area,5759
 Alaska,Sitka City and Borough,8452
 Alaska,Skagway Municipality,1242
 Alaska,Southeast Fairbanks Census Area,6811
 Alaska,Wrangell City and Borough,2127
 Alaska,Yakutat City and Borough,663
 Alaska,Yukon-Koyukuk Census Area,5345
 Arizona,Apache County,66024
 Arizona,Cochise County,125440
 Arizona,Coconino County,145098
 Arizona,Gila County,53272
 Arizona,Graham County,38539
 Arizona,Greenlee County,9563
 Arizona,La Paz County,16552
 Arizona,Maricopa County,4425315
 Arizona,Mohave County,213261
 Arizona,Navajo County,106715
 Arizona,Pima County,1043441
 Arizona,Pinal County,426007
 Arizona,Santa Cruz County,47663
 Arizona,Yavapai County,236211
 Arizona,Yuma County,205009
 Arkansas,Arkansas County,17144
 Arkansas,Ashley County,19064
 Arkansas,Baxter County,41637
 Arkansas,Benton County,284334
 Arkansas,Boone County,37374
 Arkansas,Bradley County,10542
 Arkansas,Calhoun County,4740
 Arkansas,Carroll County,28257
 Arkansas,Chicot County,10212
 Arkansas,Clark County,21462
 Arkansas,Clay County,14551
 Arkansas,Cleburne County,24720
 Arkansas,Cleveland County,7551
 Arkansas,Columbia County,22796
 Arkansas,Conway County,20713
 Arkansas,Craighead County,111242
 Arkansas,Crawford County,60135
 Arkansas,Crittenden County,48167
 Arkansas,Cross County,16834
 Arkansas,Dallas County,6478
 Arkansas,Desha County,11395
 Arkansas,Drew County,17346
 Arkansas,Faulkner County,123487
 Arkansas,Franklin County,17104
 Arkansas,Fulton County,12071
 Arkansas,Garland County,100173
 Arkansas,Grant County,17959
 Arkansas,Greene County,45732
 Arkansas,Hempstead County,20065
 Arkansas,Hot Spring County,33043
 Arkansas,Howard County,12786
 Arkansas,Independence County,37933
 Arkansas,Izard County,13580
 Arkansas,Jackson County,16761
 Arkansas,Jefferson County,67258
 Arkansas,Johnson County,25750
 Arkansas,Lafayette County,6306
 Arkansas,Lawrence County,16219
 Arkansas,Lee County,8597
 Arkansas,Lincoln County,12937
 Arkansas,Little River County,12022
 Arkansas,Logan County,21135
 Arkansas,Lonoke County,74025
 Arkansas,Madison County,16533
 Arkansas,Marion County,16822
 Arkansas,Miller County,42596
 Arkansas,Mississippi County,40687
 Arkansas,Monroe County,6797
 Arkansas,Montgomery County,8480
 Arkansas,Nevada County,8315
 Arkansas,Newton County,7226
 Arkansas,Ouachita County,22648
 Arkansas,Perry County,10023
 Arkansas,Phillips County,16570
 Arkansas,Pike County,10162
 Arkansas,Poinsett County,22965
 Arkansas,Polk County,19221
 Arkansas,Pope County,63381
 Arkansas,Prairie County,8283
 Arkansas,Pulaski County,399125
 Arkansas,Randolph County,18573
 Arkansas,St Francis County,23090
 Arkansas,Saline County,123422
 Arkansas,Scott County,9834
 Arkansas,Searcy County,7832
 Arkansas,Sebastian County,127797
 Arkansas,Sevier County,15842
 Arkansas,Sharp County,17276
 Arkansas,Stone County,12352
 Arkansas,Union County,39057
 Arkansas,Van Buren County,15792
 Arkansas,Washington County,245862
 Arkansas,White County,76825
 Arkansas,Woodruff County,6268
 Arkansas,Yell County,20260
 California,Alameda County,1682296
 California,Alpine County,1176
 California,Amador County,40497
 California,Butte County,211632
 California,Calaveras County,45284
 California,Colusa County,21837
 California,Contra Costa County,1165983
 California,Del Norte County,27742
 California,El Dorado County,191185
 California,Fresno County,1008649
 California,Glenn County,28919
 California,Humboldt County,136467
 California,Imperial County,179710
 California,Inyo County,19024
 California,Kern County,909233
 California,Kings County,152484
 California,Lake County,68164
 California,Lassen County,32733
 California,Los Angeles County,10017401
 California,Madera County,156254
 California,Marin County,262325
 California,Mariposa County,17128
 California,Mendocino County,91587
 California,Merced County,282447
 California,Modoc County,8699
 California,Mono County,13196
 California,Monterey County,441012
 California,Napa County,138014
 California,Nevada County,102236
 California,Orange County,3187256
 California,Placer County,404752
 California,Plumas County,19800
 California,Riverside County,2419967
 California,Sacramento County,1585030
 California,San Benito County,64209
 California,San Bernardino County,2181664
 California,San Diego County,3298647
 California,San Francisco County,878392
 California,San Joaquin County,779232
 California,San Luis Obispo County,282448
 California,San Mateo County,764659
 California,Santa Barbara County,448217
 California,Santa Clara County,1936278
 California,Santa Cruz County,272140
 California,Shasta County,182452
 California,Sierra County,3235
 California,Siskiyou County,44079
 California,Solano County,453551
 California,Sonoma County,488862
 California,Stanislaus County,553285
 California,Sutter County,99635
 California,Tehama County,65905
 California,Trinity County,16116
 California,Tulare County,473121
 California,Tuolumne County,55623
 California,Ventura County,844363
 California,Yolo County,217867
 California,Yuba County,81575
 Colorado,Adams County,519575
 Colorado,Alamosa County,16377
