State,District,Median Income,College%
Alabama,"Congressional District 1 (119th Congress), Alabama",49319,17.5
Alabama,"Congressional District 2 (119th Congress), Alabama",42547,16.4
Alabama,"Congressional District 3 (119th Congress), Alabama",46640,14.4
Alabama,"Congressional District 4 (119th Congress), Alabama",45846,13.7
Alabama,"Congressional District 5 (119th Congress), Alabama",52480,22.4
Alabama,"Congressional District 6 (119th Congress), Alabama",56438,25.3
Alabama,"Congressional District 7 (119th Congress), Alabama",43316,16.1
Alaska,"Congressional District (at Large) (119th Congress), Alaska",57273,19.6
Arizona,"Congressional District 1 (119th Congress), Arizona",66283,32.7
Arizona,"Congressional District 2 (119th Congress), Arizona",47248,16.9
Arizona,"Congressional District 3 (119th Congress), Arizona",44208,13.7
Arizona,"Congressional District 4 (119th Congress), Arizona",54398,25.5
Arizona,"Congressional District 5 (119th Congress), Arizona",66254,25.6
Arizona,"Congressional District 6 (119th Congress), Arizona",51554,22.1
Arizona,"Congressional District 7 (119th Congress), Arizona",41430,13.2
Arizona,"Congressional District 8 (119th Congress), Arizona",52131,22.4
Arizona,"Congressional District 9 (119th Congress), Arizona",51412,14.4
Arkansas,"Congressional District 1 (119th Congress), Arkansas",41513,12.8
Arkansas,"Congressional District 2 (119th Congress), Arkansas",50924,21.8
Arkansas,"Congressional District 3 (119th Congress), Arkansas",50212,20.5
Arkansas,"Congressional District 4 (119th Congress), Arkansas",41077,13.1
California,"Congressional District 1 (119th Congress), California",46834,16.2
California,"Congressional District 2 (119th Congress), California",59411,26.5
California,"Congressional District 3 (119th Congress), California",68925,27.4
California,"Congressional District 4 (119th Congress), California",61225,22.8
California,"Congressional District 5 (119th Congress), California",60690,20.1
California,"Congressional District 6 (119th Congress), California",55191,21.6
California,"Congressional District 7 (119th Congress), California",56594,23.9
California,"Congressional District 8 (119th Congress), California",55685,20.6
California,"Congressional District 9 (119th Congress), California",52047,16.9
California,"Congressional District 10 (119th Congress), California",88244,32.2
California,"Congressional District 11 (119th Congress), California",101122,36.1
California,"Congressional District 12 (119th Congress), California",70648,29.4
California,"Congressional District 13 (119th Congress), California",40627,10.1
California,"Congressional District 14 (119th Congress), California",76043,29.2
California,"Congressional District 15 (119th Congress), California",76517,30
California,"Congressional District 16 (119th Congress), California",100572,29.5
California,"Congressional District 17 (119th Congress), California",104166,29
California,"Congressional District 18 (119th Congress), California",50268,17.2
California,"Congressional District 19 (119th Congress), California",70502,26.8
California,"Congressional District 20 (119th Congress), California",59035,19.4
California,"Congressional District 21 (119th Congress), California",40378,11.8
California,"Congressional District 22 (119th Congress), California",37764,7.7
California,"Congressional District 23 (119th Congress), California",49592,13
California,"Congressional District 24 (119th Congress), California",57312,23.4
California,"Congressional District 25 (119th Congress), California",43052,12.3
California,"Congressional District 26 (119th Congress), California",58310,23.6
California,"Congressional District 27 (119th Congress), California",56302,20.5
California,"Congressional District 28 (119th Congress), California",62285,27.9
California,"Congressional District 29 (119th Congress), California",41883,19.5
California,"Congressional District 30 (119th Congress), California",61942,36.7
California,"Congressional District 31 (119th Congress), California",46708,18.2
California,"Congressional District 32 (119th Congress), California",64245,33
California,"Congressional District 33 (119th Congress), California",47070,14.2
California,"Congressional District 34 (119th Congress), California",40915,20.8
California,"Congressional District 35 (119th Congress), California",48969,16.9
California,"Congressional District 36 (119th Congress), California",88946,38.9
California,"Congressional District 37 (119th Congress), California",41244,19.1
California,"Congressional District 38 (119th Congress), California",53325,20.1
California,"Congressional District 39 (119th Congress), California",46696,12.5
California,"Congressional District 40 (119th Congress), California",72210,31.9
California,"Congressional District 41 (119th Congress), California",57678,21.2
California,"Congressional District 42 (119th Congress), California",47152,17.7
California,"Congressional District 43 (119th Congress), California",42091,15.3
California,"Congressional District 44 (119th Congress), California",47412,16.8
California,"Congressional District 45 (119th Congress), California",55688,25.3
California,"Congressional District 46 (119th Congress), California",44779,16.8
California,"Congressional District 47 (119th Congress), California",80159,36.8
California,"Congressional District 48 (119th Congress), California",61981,22.6
California,"Congressional District 49 (119th Congress), California",65867,30
California,"Congressional District 50 (119th Congress), California",80638,34.4
California,"Congressional District 51 (119th Congress), California",65588,29.9
California,"Congressional District 52 (119th Congress), California",47253,17.7
Colorado,"Congressional District 1 (119th Congress), Colorado",70393,34.4
Colorado,"Congressional District 2 (119th Congress), Colorado",65752,35.5
Colorado,"Congressional District 3 (119th Congress), Colorado",50561,22.6
Colorado,"Congressional District 4 (119th Congress), Colorado",71538,31.6
Colorado,"Congressional District 5 (119th Congress), Colorado",57600,25.4
Colorado,"Congressional District 6 (119th Congress), Colorado",61755,29.5
Colorado,"Congressional District 7 (119th Congress), Colorado",70641,32.3
Colorado,"Congressional District 8 (119th Congress), Colorado",59509,20.5
Connecticut,"Congressional District 1 (119th Congress), Connecticut",60345,21.2
Connecticut,"Congressional District 2 (119th Congress), Connecticut",62197,22.2
Connecticut,"Congressional District 3 (119th Congress), Connecticut",62499,21.4
Connecticut,"Congressional District 4 (119th Congress), Connecticut",70906,29.6
Connecticut,"Congressional District 5 (119th Congress), Connecticut",60614,22.1
Delaware,"Congressional District (at Large) (119th Congress), Delaware",51993,20
DistrictofColumbia,"Delegate District (at Large) (119th Congress), District of Columbia",91315,27.1
Florida,"Congressional District 1 (119th Congress), Florida",47404,19.5
Florida,"Congressional District 2 (119th Congress), Florida",46705,19
Florida,"Congressional District 3 (119th Congress), Florida",45931,17.9
Florida,"Congressional District 4 (119th Congress), Florida",46892,17.9
Florida,"Congressional District 5 (119th Congress), Florida",58202,31.8
Florida,"Congressional District 6 (119th Congress), Florida",42574,16.7
Florida,"Congressional District 7 (119th Congress), Florida",50985,24.6
Florida,"Congressional District 8 (119th Congress), Florida",48819,21.4
Florida,"Congressional District 9 (119th Congress), Florida",45941,25.7
Florida,"Congressional District 10 (119th Congress), Florida",44351,24.2
Florida,"Congressional District 11 (119th Congress), Florida",52138,23.7
Florida,"Congressional District 12 (119th Congress), Florida",46451,16.2
Florida,"Congressional District 13 (119th Congress), Florida",50156,22.8
Florida,"Congressional District 14 (119th Congress), Florida",52585,25.8
Florida,"Congressional District 15 (119th Congress), Florida",49709,21.8
Florida,"Congressional District 16 (119th Congress), Florida",52426,23.1
Florida,"Congressional District 17 (119th Congress), Florida",45833,21
Florida,"Congressional District 18 (119th Congress), Florida",44176,14.5
Florida,"Congressional District 19 (119th Congress), Florida",50330,23.6
Florida,"Congressional District 20 (119th Congress), Florida",42231,17.6
Florida,"Congressional District 21 (119th Congress), Florida",50379,23.3
Florida,"Congressional District 22 (119th Congress), Florida",50046,24.7
Florida,"Congressional District 23 (119th Congress), Florida",56269,26.6
Florida,"Congressional District 24 (119th Congress), Florida",41912,19
Florida,"Congressional District 25 (119th Congress), Florida",51163,25.5
Florida,"Congressional District 26 (119th Congress), Florida",42046,21
Florida,"Congressional District 27 (119th Congress), Florida",50501,27.7
Florida,"Congressional District 28 (119th Congress), Florida",45054,23.7
Georgia,"Congressional District 1 (119th Congress), Georgia",46998,18.8
Georgia,"Congressional District 2 (119th Congress), Georgia",40940,12.2
Georgia,"Congressional District 3 (119th Congress), Georgia",51852,19.5
Georgia,"Congressional District 4 (119th Congress), Georgia",46501,24.3
Georgia,"Congressional District 5 (119th Congress), Georgia",59986,28.2
Georgia,"Congressional District 6 (119th Congress), Georgia",61625,29.1
Georgia,"Congressional District 7 (119th Congress), Georgia",80310,36.4
Georgia,"Congressional District 8 (119th Congress), Georgia",44757,13.7
Georgia,"Congressional District 9 (119th Congress), Georgia",50090,22.1
Georgia,"Congressional District 10 (119th Congress), Georgia",50875,17.2
Georgia,"Congressional District 11 (119th Congress), Georgia",60214,26.5
Georgia,"Congressional District 12 (119th Congress), Georgia",46332,14.3
Georgia,"Congressional District 13 (119th Congress), Georgia",49584,20.5
Georgia,"Congressional District 14 (119th Congress), Georgia",50046,17.5
Hawaii,"Congressional District 1 (119th Congress), Hawaii",55735,27.1
Hawaii,"Congressional District 2 (119th Congress), Hawaii",51290,20.6
Idaho,"Congressional District 1 (119th Congress), Idaho",50461,20.7
Idaho,"Congressional District 2 (119th Congress), Idaho",50067,23.1
Illinois,"Congressional District 1 (119th Congress), Illinois",51628,18.6
Illinois,"Congressional District 2 (119th Congress), Illinois",47073,14.9
Illinois,"Congressional District 3 (119th Congress), Illinois",52733,25.2
Illinois,"Congressional District 4 (119th Congress), Illinois",45861,15.9
Illinois,"Congressional District 5 (119th Congress), Illinois",79045,38.8
Illinois,"Congressional District 6 (119th Congress), Illinois",62164,26.2
Illinois,"Congressional District 7 (119th Congress), Illinois",68113,28.9
Illinois,"Congressional District 8 (119th Congress), Illinois",58074,25.9
Illinois,"Congressional District 9 (119th Congress), Illinois",64630,31.9
Illinois,"Congressional District 10 (119th Congress), Illinois",62205,27.1
Illinois,"Congressional District 11 (119th Congress), Illinois",62237,28.7
Illinois,"Congressional District 12 (119th Congress), Illinois",50346,15.2
Illinois,"Congressional District 13 (119th Congress), Illinois",51298,19.1
Illinois,"Congressional District 14 (119th Congress), Illinois",57577,22.2
Illinois,"Congressional District 15 (119th Congress), Illinois",51566,17.5
Illinois,"Congressional District 16 (119th Congress), Illinois",53586,20.6
Illinois,"Congressional District 17 (119th Congress), Illinois",45460,16.9
Indiana,"Congressional District 1 (119th Congress), Indiana",52411,19.3
Indiana,"Congressional District 2 (119th Congress), Indiana",47322,15.9
Indiana,"Congressional District 3 (119th Congress), Indiana",48891,18.4
Indiana,"Congressional District 4 (119th Congress), Indiana",51502,19.8
Indiana,"Congressional District 5 (119th Congress), Indiana",57145,25.4
Indiana,"Congressional District 6 (119th Congress), Indiana",51748,19.9
Indiana,"Congressional District 7 (119th Congress), Indiana",48450,22.6
Indiana,"Congressional District 8 (119th Congress), Indiana",47321,16.5
Indiana,"Congressional District 9 (119th Congress), Indiana",50553,17.2
