Stem,Average Occurrence (Comedy),Average Occurrence (Thriller)
she,22.3460073281,17.1865737104
decid,0.898326041087,0.672781978328
talk,10.4663737036,8.02184203955
wit,0.40074920854,0.472074688251
razor,0.0439458253234,0.0542843697035
slam,0.0354123050125,0.058733029983
credit,0.476776429644,0.205415158163
rai,0.754102368573,0.73973676098
hugh,0.0439985524666,0.0591677582943
breez,0.0268736444109,0.019855676772
conscienc,0.0891112186906,0.097757249842
audienc,0.230636804912,0.0934137427861
cathi,0.00867046725203,0.134551078948
log,0.0440383343176,0.123391025198
met,1.73281544146,1.13575161428
chosen,0.114922370782,0.0441169317247
grip,0.13296509452,0.0697749880398
booz,0.0880462230225,0.0445301658124
bianca,0.133923869926,0.0
doubl,0.416251747634,0.289509091449
agent,0.505257871495,0.720549203005
exit,0.0619980575061,0.133297923908
carpent,0.0712377721499,0.188645052775
underground,0.0799601241399,0.0739005072086
clemenza,0.0,0.0875358368592
gain,0.141918495797,0.137566696943
neg,0.222350655825,0.167895283996
majesti,0.171386449151,0.0295092243562
studio,0.223999735988,0.14165744029
chri,0.044612383504,0.112814900536
spin,0.088302514892,0.0489200369318
greater,0.0889546740984,0.063944386702
eaten,0.0711743157689,0.0686001206726
vibrat,0.0713544663033,0.0343448199969
stupid,1.24231210429,0.957076890141
cigarett,0.470148478907,0.337707073707
jesu,1.600739029,1.68401120091
mani,2.35969366171,1.86219726155
violin,0.0803119162963,0.0295649949458
financi,0.271225431082,0.0737446337211
bai,0.0884260890861,0.283059652057
cop,0.45312282307,1.71765746391
neighbor,0.412509350858,0.209152112148
cd,0.0794839082302,0.0538372571369
england,0.21071713568,0.0688756043697
made,3.68506844116,2.5816985912
conni,0.0177379943624,0.0583374571712
instinct,0.0876296414973,0.0980114831927
took,1.92339986446,1.80475427393
jacquelin,0.0,0.313396133902
mace,0.00896140920297,0.0979750477485
disappear,0.248469030183,0.550581726441
waltz,0.0445431182312,0.0344514986887
behind,0.995936877888,1.09038139752
bourbon,0.0610568272122,0.0339668092643
favorit,0.506622925421,0.255364144195
benni,0.134201388606,0.0147076648028
manhattan,0.0974002808953,0.10773820742
nixon,0.0174427291339,0.0844705102509
lunch,0.777920753686,0.412060333507
principl,0.0705324116202,0.063695533618
tradit,0.223616422917,0.0695988053769
counterfeit,0.0439882900806,0.0253112158046
sophi,0.130839352992,0.0652517840333
third,0.59355120846,0.383922762672
exist,0.427748754439,0.398387240152
wouldv,0.273986127084,0.29552568264
hero,0.320273461743,0.201857784906
theyr,5.43673381196,4.61257846615
anytim,0.12364486074,0.127854344393
christin,0.133528805177,0.019453501086
vallei,0.0969609730441,0.107369658987
chess,0.00886819901077,0.116649050612
paid,0.645673160706,0.489847876448
burglar,0.044237068869,0.0644893958145
nostril,0.126649965269,0.00981465952755
rubber,0.090123922255,0.0738738219741
human,0.858735812125,0.922272289711
british,0.107762981149,0.118716386484
plissken,0.0,0.0735624681197
eddi,0.712676050227,0.346124259361
gee,0.547086458353,0.175284605902
offend,0.125646627348,0.078177862977
rebecca,0.0267655106645,0.00500964385101
anger,0.0793861828205,0.0542348192462
plant,0.256337487821,0.286172124501
famou,0.432594824179,0.132043190266
repres,0.274760143267,0.142213738994
latest,0.0882204760954,0.0588648089099
rent,0.573827149004,0.263905568733
dip,0.106872362976,0.0391035849138
bell,0.253475758258,0.147049834327
andi,0.627357847679,0.181149545421
so,29.4552504802,17.9698735285
london,0.220622389698,0.267034680077
cooler,0.0708429588317,0.0248065704581
keaton,0.0174789915966,0.157890898052
portland,0.0347862474036,0.0482547472889
headlin,0.0790988341792,0.0246453918645
whatta,0.0357149626375,0.0896697324713
fatal,0.0357512445586,0.0593793476472
sew,0.0177366217517,0.058603941304
cheer,0.274045309308,0.102473147402
